,Leporinussp,Aaltiparanae,Afasciatus,Bstramineus,Hmarginatus,Mintermedia,Msanctafilomenae,Mforesti,Opintoi,Pargentea,Pkennedyi,Shilarii,Snotomelas,Cmodestus,Sinsculpta,Czebra,Paustralis,Hmalabaricus,Pnasus,Plineatus,Gsylvius,Caeneus,Halbopuctatus,Hancistroides,Hiheringii,Hstrigaticeps,Pmenezesi,Ptaenioptera,Imirini,Rquelen,Ischubarti,Cparanaense,Cbritskii,Trendallii,Preticulata
Ldoce1,0,11,9,5,2,0,0,3,0,10,0,0,1,0,0,2,0,1,0,0,0,6,0,1,4,0,0,0,1,0,2,0,0,0,0
Ldoce2,0,3,0,0,1,0,0,10,24,0,0,2,9,1,0,3,0,1,0,0,9,45,1,4,0,0,0,0,0,0,0,1,0,0,0
Ldoce3,2,15,5,6,33,1,1,9,9,0,0,3,32,0,1,4,1,2,1,4,0,67,0,23,4,2,0,0,0,1,1,0,4,0,0
Rego.Dagua1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Rego.Dagua2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,43,329
Paragem1,0,17,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,10,39
Paragem2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,11,1,1,0,0,0,0,0,0,0,0,0
Paragem3,0,14,3,0,1,0,0,0,11,0,1,0,17,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,0,0,0,2,0,0,66
